X_Value,Temperature_0,Temperature_1,Temperature_2
0,34.318627,30.484441,32.451701
0.1,34.318627,30.484441,32.451701
0.2,34.318627,30.484441,32.451701
0.3,34.411805,30.65361,32.305339
0.4,34.411805,30.65361,32.305339
0.5,34.411805,30.65361,32.305339
0.6,34.605628,30.830268,31.808402
0.7,34.605628,30.830268,31.808402
0.8,34.605628,30.830268,31.808402
0.9,34.98849,31.095435,31.965157
1,34.98849,31.095435,31.965157
1.1,34.98849,31.095435,31.965157
1.2,35.541246,31.329544,31.568296
1.3,35.541246,31.329544,31.568296
1.4,35.541246,31.329544,31.568296
1.5,35.574454,31.356309,31.044239
1.6,35.574454,31.356309,31.044239
1.7,35.574454,31.356309,31.044239
1.8,35.578429,31.417586,30.479037
1.9,35.578429,31.417586,30.479037
2,35.578429,31.417586,30.479037
2.1,35.530722,31.552099,30.408306
2.2,35.530722,31.552099,30.408306
2.3,35.530722,31.552099,30.408306
2.4,35.597137,31.705841,29.915647
2.5,35.597137,31.705841,29.915647
2.6,35.597137,31.705841,29.915647
2.7,35.676409,31.816615,29.399237
2.8,35.676409,31.816615,29.399237
2.9,35.676409,31.816615,29.399237
3,35.647881,31.939815,29.384418
3.1,35.647881,31.939815,29.384418
3.2,35.647881,31.939815,29.384418
3.3,35.459625,32.065346,29.269859
3.4,35.459625,32.065346,29.269859
3.5,35.459625,32.065346,29.269859
3.6,35.46477,32.176083,29.468859
3.7,35.46477,32.176083,29.468859
3.8,35.46477,32.176083,29.468859
3.9,35.493771,32.296191,29.836415
4,35.493771,32.296191,29.836415
4.1,35.493771,32.296191,29.836415
4.2,35.549431,32.407607,30.110999
4.3,35.549431,32.407607,30.110999
4.4,35.549431,32.407607,30.110999
4.5,35.619586,32.557707,30.470577
4.6,35.619586,32.557707,30.470577
4.7,35.619586,32.557707,30.470577
4.8,35.807815,32.817752,30.73513
4.9,35.807815,32.817752,30.73513
5,35.807815,32.817752,30.73513
5.1,36.069643,33.141957,30.615549
5.2,36.069643,33.141957,30.615549
5.3,36.069643,33.141957,30.615549
5.4,36.40315,33.415684,30.44285
5.5,36.40315,33.415684,30.44285
5.6,36.40315,33.415684,30.44285
5.7,36.275555,33.611797,30.632935
5.8,36.275555,33.611797,30.632935
5.9,36.275555,33.611797,30.632935
6,36.251016,33.783512,30.694958
6.1,36.251016,33.783512,30.694958
6.2,36.251016,33.783512,30.694958
6.3,36.119431,33.959649,30.699187
6.4,36.119431,33.959649,30.699187
6.5,36.119431,33.959649,30.699187
6.6,36.256625,34.224269,30.888991
6.7,36.256625,34.224269,30.888991
6.8,36.256625,34.224269,30.888991
6.9,36.416703,34.48461,31.240791
7,36.416703,34.48461,31.240791
7.1,36.416703,34.48461,31.240791
7.2,36.593813,34.730378,31.575807
7.3,36.593813,34.730378,31.575807
7.4,36.593813,34.730378,31.575807
7.5,36.711558,34.989426,31.862611
7.6,36.711558,34.989426,31.862611
7.7,36.711558,34.989426,31.862611
7.8,36.892825,35.324434,31.898281
7.9,36.892825,35.324434,31.898281
8,36.892825,35.324434,31.898281
8.1,37.116096,35.665419,32.323166
8.2,37.116096,35.665419,32.323166
8.3,37.116096,35.665419,32.323166
8.4,37.461424,36.110782,32.298536
8.5,37.461424,36.110782,32.298536
8.6,37.461424,36.110782,32.298536
8.7,37.821579,36.329306,31.792208
8.8,37.821579,36.329306,31.792208
8.9,37.821579,36.329306,31.792208
9,37.799642,36.565309,32.033437
9.1,37.799642,36.565309,32.033437
9.2,37.799642,36.565309,32.033437
9.3,37.894156,36.952617,32.18617
9.4,37.894156,36.952617,32.18617
9.5,37.894156,36.952617,32.18617
9.6,37.977463,37.511848,31.995426
9.7,37.977463,37.511848,31.995426
9.8,37.977463,37.511848,31.995426
9.9,37.881555,37.794507,31.935356
10,37.881555,37.794507,31.935356
10.1,37.881555,37.794507,31.935356
10.2,37.566005,38.331619,32.314722
10.3,37.566005,38.331619,32.314722
10.4,37.566005,38.331619,32.314722
10.5,37.709787,38.969891,32.757495
10.6,37.709787,38.969891,32.757495
10.7,37.709787,38.969891,32.757495
10.8,37.719123,39.4081,32.521122
10.9,37.719123,39.4081,32.521122
11,37.719123,39.4081,32.521122
11.1,38.213579,39.952828,32.314722
11.2,38.213579,39.952828,32.314722
11.3,38.213579,39.952828,32.314722
11.4,38.580955,40.669108,32.187109
11.5,38.580955,40.669108,32.187109
11.6,38.580955,40.669108,32.187109
11.7,38.784067,41.292582,32.013727
11.8,38.784067,41.292582,32.013727
11.9,38.784067,41.292582,32.013727
12,39.434667,41.983857,32.375004
12.1,39.434667,41.983857,32.375004
12.2,39.434667,41.983857,32.375004
12.3,39.65813,42.55876,32.418162
12.4,39.65813,42.55876,32.418162
12.5,39.65813,42.55876,32.418162
12.6,39.947937,43.346858,32.717869
12.7,39.947937,43.346858,32.717869
12.8,39.947937,43.346858,32.717869
12.9,40.285176,44.29135,32.800168
13,40.285176,44.29135,32.800168
13.1,40.285176,44.29135,32.800168
13.2,40.79923,45.175525,32.662999
13.3,40.79923,45.175525,32.662999
13.4,40.79923,45.175525,32.662999
13.5,41.406814,45.864159,32.285869
13.6,41.406814,45.864159,32.285869
13.7,41.406814,45.864159,32.285869
13.8,42.20869,47.207226,32.853389
13.9,42.20869,47.207226,32.853389
14,42.20869,47.207226,32.853389
14.1,42.892928,48.72338,33.142895
14.2,42.892928,48.72338,33.142895
14.3,42.892928,48.72338,33.142895
14.4,43.609754,50.204175,32.988658
14.5,43.609754,50.204175,32.988658
14.6,43.609754,50.204175,32.988658
14.7,44.498819,51.886866,33.616014
14.8,44.498819,51.886866,33.616014
14.9,44.498819,51.886866,33.616014
15,45.377516,54.045712,34.219352
15.1,45.377516,54.045712,34.219352
15.2,45.377516,54.045712,34.219352
15.3,46.622625,56.42014,34.717037
15.4,46.622625,56.42014,34.717037
15.5,46.622625,56.42014,34.717037
15.6,47.883233,59.243272,35.693011
15.7,47.883233,59.243272,35.693011
15.8,47.883233,59.243272,35.693011
15.9,49.63816,62.581901,36.716231
16,49.63816,62.581901,36.716231
16.1,49.63816,62.581901,36.716231
